"surname","gender"
"Даньщина","f"
"Слабчук","u"
"Пронничук","u"
"Манчелаева","f"
"Леснина","f"
"Касищев","m"
"Гладунцов","m"
"Заровчацкий","m"
"Феодосов","m"
"Куравкина","f"
"Пикорина","f"
"Кулепетова","f"
"Еремчева","f"
"Репухова","f"
"Закатиева","f"
"Хулуева","f"
"Пинимясова","f"
"Плотцкий","m"
"Ульенкова","f"
"Селянченкова","f"
"Тиликина","f"
"Шеберстов","m"
"Буровлина","f"
"Меленный","m"
"Халатаева","f"
"Седусов","m"
"Габизова","f"
"Колоедова","f"
"Чистоева","f"
"Потманцева","f"
"Друсалевич","u"
"Сереженькина","f"
"Котличкова","f"
"Нестеребская","f"
"Бядаев","m"
"Гнойовец","u"
"Тюкшкина","f"
"Лукарецкая","f"
"Сатрихин","m"
"Неловкина","f"
"Лимонченко","u"
"Каленкин","m"
"Ключарова","f"
"Блинская","f"
"Улугова","f"
"Благонравин","m"
"Делавина","f"
"Шкобырева","f"
"Кученов","m"
"Хункаров","m"
"Мажурный","m"
"Первутинский","m"
"Москательникова","f"
"Алышова","f"
"Семичевский","m"
"Забайдулина","f"
"Кудливский","m"
"Дрогобицкая","f"
"Тулюсева","f"
"Ревыкин","m"
"Вирная","f"
"Вивчиренко","u"
"Родовольская","f"
"Шелепников","m"
"Фелицына","f"
"Паженцева","f"
"Мамыркин","m"
"Куфаров","m"
"Катышевцев","m"
"Ладный","m"
"Тютявина","f"
"Иорова","f"
"Кащишина","f"
"Томнюк","u"
"Зрайченко","u"
"Копыняк","u"
"Ростемберская","f"
"Лакезина","f"
"Рынская","f"
"Родзивилина","f"
"Лакезин","m"
"Пунанова","f"
"Василюгина","f"
"Муравова","f"
"Астофорова","f"
"Завальная","f"
"Трубарева","f"
"Касьянникова","f"
"Сковитин","m"
"Позорова","f"
"Бармаев","m"
"Колентеева","f"
"Рубазова","f"
"Мискун","u"
"Топтыгова","f"
"Крычаков","m"
"Щедрая","f"
"Маньянов","m"
"Килимченко","u"
"Отрубейников","m"
"Земрук","u"
"Понфилова","f"
"Жабоедов","m"
"Варзарук","u"
"Кревцов","m"
"Тяжова","f"
"Мухомодеева","f"
"Мушкарцева","f"
"Еприцкая","f"
"Даргинов","m"
"Хензыхенова","f"
"Чердинцева","f"
"Побегайлова","f"
"Арцаблюк","u"
"Суравишина","f"
"Мерошниченко","u"
"Морохоев","m"
"Мишатина","f"
"Трябцева","f"
"Сазонтьева","f"
"Завязкина","f"
"Чуненкова","f"
"Корский","m"
"Карсалова","f"
"Мостанец","u"
"Коротеньких","u"
"Кульмамедова","f"
"Аньков","m"
"Басинцева","f"
"Колоедов","m"
"Сахароваров","m"
"Безизвестных","u"
"Шпарук","u"
"Кондрычина","f"
"Шулюмова","f"
"Чибирякова","f"
"Локалова","f"
"Межинских","u"
"Феодосова","f"
"Холхоева","f"
"Гирьятович","u"
"Гунарев","m"
"Баяева","f"
"Хливецкая","f"
"Голоменцева","f"
"Мингбаева","f"
"Белоблодская","f"
"Зломанова","f"
"Вигранивский","m"
"Трудоношина","f"
"Кобалян","u"
"Мангарова","f"
"Никлюкова","f"
"Соложенникова","f"
"Склабинский","m"
"Рысихина","f"
"Адиатова","f"
"Лезинова","f"
"Ошкукова","f"
"Сапсуева","f"
"Шамонаева","f"
"Граданович","u"
"Заздравнов","m"
"Пудлина","f"
"Шандровский","m"
"Прудовиков","m"
"Каплюшин","m"
"Пасальская","f"
"Ечманов","m"
"Миготина","f"
"Тонкодубова","f"
"Шеримова","f"
"Омеляненко","u"
"Проскуркина","f"
"Анюткина","f"
